DATE,TB3MS,T10Y3M,DGS10
1940-06-01,0.10,.,.
1940-07-01,0.05,.,.
1940-08-01,0.04,.,.
1940-09-01,0.05,.,.
1940-10-01,0.02,.,.
1940-11-01,0.02,.,.
1940-12-01,0.02,.,.
1941-01-01,0.02,.,.
1941-02-01,0.04,.,.
1941-03-01,0.11,.,.
1941-04-01,0.10,.,.
1941-05-01,0.11,.,.
1941-06-01,0.12,.,.
1941-07-01,0.12,.,.
1941-08-01,0.13,.,.
1941-09-01,0.10,.,.
1941-10-01,0.09,.,.
1941-11-01,0.28,.,.
1941-12-01,0.33,.,.
1942-01-01,0.27,.,.
1942-02-01,0.25,.,.
1942-03-01,0.25,.,.
1942-04-01,0.32,.,.
1942-05-01,0.37,.,.
1942-06-01,0.37,.,.
1942-07-01,0.38,.,.
1942-08-01,0.38,.,.
1942-09-01,0.38,.,.
1942-10-01,0.38,.,.
1942-11-01,0.38,.,.
1942-12-01,0.38,.,.
1943-01-01,0.38,.,.
1943-02-01,0.38,.,.
1943-03-01,0.38,.,.
1943-04-01,0.38,.,.
1943-05-01,0.38,.,.
1943-06-01,0.38,.,.
1943-07-01,0.38,.,.
1943-08-01,0.38,.,.
1943-09-01,0.38,.,.
1943-10-01,0.38,.,.
1943-11-01,0.38,.,.
1943-12-01,0.38,.,.
1944-01-01,0.38,.,.
1944-02-01,0.38,.,.
1944-03-01,0.38,.,.
1944-04-01,0.38,.,.
1944-05-01,0.38,.,.
1944-06-01,0.38,.,.
1944-07-01,0.38,.,.
1944-08-01,0.38,.,.
1944-09-01,0.38,.,.
1944-10-01,0.38,.,.
1944-11-01,0.38,.,.
1944-12-01,0.38,.,.
1945-01-01,0.38,.,.
1945-02-01,0.38,.,.
1945-03-01,0.38,.,.
1945-04-01,0.38,.,.
1945-05-01,0.38,.,.
1945-06-01,0.38,.,.
1945-07-01,0.38,.,.
1945-08-01,0.38,.,.
1945-09-01,0.38,.,.
1945-10-01,0.38,.,.
1945-11-01,0.38,.,.
1945-12-01,0.38,.,.
1946-01-01,0.38,.,.
1946-02-01,0.38,.,.
1946-03-01,0.38,.,.
1946-04-01,0.38,.,.
1946-05-01,0.38,.,.
1946-06-01,0.38,.,.
1946-07-01,0.38,.,.
1946-08-01,0.38,.,.
1946-09-01,0.38,.,.
1946-10-01,0.38,.,.
1946-11-01,0.38,.,.
1946-12-01,0.38,.,.
1947-01-01,0.38,.,.
1947-02-01,0.38,.,.
1947-03-01,0.38,.,.
1947-04-01,0.38,.,.
1947-05-01,0.38,.,.
1947-06-01,0.38,.,.
1947-07-01,0.66,.,.
1947-08-01,0.75,.,.
1947-09-01,0.80,.,.
1947-10-01,0.85,.,.
1947-11-01,0.92,.,.
1947-12-01,0.95,.,.
1948-01-01,0.97,.,.
1948-02-01,1.00,.,.
1948-03-01,1.00,.,.
1948-04-01,1.00,.,.
1948-05-01,1.00,.,.
1948-06-01,1.00,.,.
1948-07-01,1.00,.,.
1948-08-01,1.06,.,.
1948-09-01,1.09,.,.
1948-10-01,1.12,.,.
1948-11-01,1.14,.,.
1948-12-01,1.16,.,.
1949-01-01,1.17,.,.
1949-02-01,1.17,.,.
1949-03-01,1.17,.,.
1949-04-01,1.17,.,.
1949-05-01,1.17,.,.
1949-06-01,1.17,.,.
1949-07-01,1.02,.,.
1949-08-01,1.04,.,.
1949-09-01,1.07,.,.
1949-10-01,1.05,.,.
1949-11-01,1.08,.,.
1949-12-01,1.10,.,.
1950-01-01,1.07,.,.
1950-02-01,1.12,.,.
1950-03-01,1.12,.,.
1950-04-01,1.15,.,.
1950-05-01,1.16,.,.
1950-06-01,1.15,.,.
1950-07-01,1.16,.,.
1950-08-01,1.20,.,.
1950-09-01,1.30,.,.
1950-10-01,1.31,.,.
1950-11-01,1.36,.,.
1950-12-01,1.34,.,.
1951-01-01,1.34,.,.
1951-02-01,1.36,.,.
1951-03-01,1.40,.,.
1951-04-01,1.47,.,.
1951-05-01,1.55,.,.
1951-06-01,1.45,.,.
1951-07-01,1.56,.,.
1951-08-01,1.62,.,.
1951-09-01,1.63,.,.
1951-10-01,1.54,.,.
1951-11-01,1.56,.,.
1951-12-01,1.73,.,.
1952-01-01,1.57,.,.
1952-02-01,1.54,.,.
1952-03-01,1.59,.,.
1952-04-01,1.57,.,.
1952-05-01,1.67,.,.
1952-06-01,1.70,.,.
1952-07-01,1.81,.,.
1952-08-01,1.83,.,.
1952-09-01,1.71,.,.
1952-10-01,1.74,.,.
1952-11-01,1.85,.,.
1952-12-01,2.09,.,.
1953-01-01,1.96,.,.
1953-02-01,1.97,.,.
1953-03-01,2.01,.,.
1953-04-01,2.19,.,.
1953-05-01,2.16,.,.
1953-06-01,2.11,.,.
1953-07-01,2.04,.,.
1953-08-01,2.04,.,.
1953-09-01,1.79,.,.
1953-10-01,1.38,.,.
1953-11-01,1.44,.,.
1953-12-01,1.60,.,.
1954-01-01,1.18,.,.
1954-02-01,0.97,.,.
1954-03-01,1.03,.,.
1954-04-01,0.97,.,.
1954-05-01,0.76,.,.
1954-06-01,0.64,.,.
1954-07-01,0.72,.,.
1954-08-01,0.92,.,.
1954-09-01,1.01,.,.
1954-10-01,0.98,.,.
1954-11-01,0.93,.,.
1954-12-01,1.15,.,.
1955-01-01,1.22,.,.
1955-02-01,1.17,.,.
1955-03-01,1.28,.,.
1955-04-01,1.59,.,.
1955-05-01,1.45,.,.
1955-06-01,1.41,.,.
1955-07-01,1.60,.,.
1955-08-01,1.90,.,.
1955-09-01,2.07,.,.
1955-10-01,2.23,.,.
1955-11-01,2.24,.,.
1955-12-01,2.54,.,.
1956-01-01,2.41,.,.
1956-02-01,2.32,.,.
1956-03-01,2.25,.,.
1956-04-01,2.60,.,.
1956-05-01,2.61,.,.
1956-06-01,2.49,.,.
1956-07-01,2.31,.,.
1956-08-01,2.60,.,.
1956-09-01,2.84,.,.
1956-10-01,2.90,.,.
1956-11-01,2.99,.,.
1956-12-01,3.21,.,.
1957-01-01,3.11,.,.
1957-02-01,3.10,.,.
1957-03-01,3.08,.,.
1957-04-01,3.07,.,.
1957-05-01,3.06,.,.
1957-06-01,3.29,.,.
1957-07-01,3.16,.,.
1957-08-01,3.37,.,.
1957-09-01,3.53,.,.
1957-10-01,3.58,.,.
1957-11-01,3.31,.,.
1957-12-01,3.04,.,.
1958-01-01,2.44,.,.
1958-02-01,1.53,.,.
1958-03-01,1.30,.,.
1958-04-01,1.13,.,.
1958-05-01,0.91,.,.
1958-06-01,0.83,.,.
1958-07-01,0.91,.,.
1958-08-01,1.69,.,.
1958-09-01,2.44,.,.
1958-10-01,2.63,.,.
1958-11-01,2.67,.,.
1958-12-01,2.77,.,.
1959-01-01,2.82,.,.
1959-02-01,2.70,.,.
1959-03-01,2.80,.,.
1959-04-01,2.95,.,.
1959-05-01,2.84,.,.
1959-06-01,3.21,.,.
1959-07-01,3.20,.,.
1959-08-01,3.38,.,.
1959-09-01,4.04,.,.
1959-10-01,4.05,.,.
1959-11-01,4.15,.,.
1959-12-01,4.49,.,.
1960-01-01,4.35,.,.
1960-02-01,3.96,.,.
1960-03-01,3.31,.,.
1960-04-01,3.23,.,.
1960-05-01,3.29,.,.
1960-06-01,2.46,.,.
1960-07-01,2.30,.,.
1960-08-01,2.30,.,.
1960-09-01,2.48,.,.
1960-10-01,2.30,.,.
1960-11-01,2.37,.,.
1960-12-01,2.25,.,.
1961-01-01,2.24,.,.
1961-02-01,2.42,.,.
1961-03-01,2.39,.,.
1961-04-01,2.29,.,.
1961-05-01,2.29,.,.
1961-06-01,2.33,.,.
1961-07-01,2.24,.,.
1961-08-01,2.39,.,.
1961-09-01,2.28,.,.
1961-10-01,2.30,.,.
1961-11-01,2.48,.,.
1961-12-01,2.60,.,.
1962-01-01,2.72,.,4.0831818181818182
1962-02-01,2.73,.,4.0394444444444444
1962-03-01,2.72,.,3.9304545454545455
1962-04-01,2.73,.,3.8430000000000000
1962-05-01,2.69,.,3.8736363636363636
1962-06-01,2.73,.,3.9090476190476190
1962-07-01,2.92,.,4.0142857142857143
1962-08-01,2.82,.,3.9756521739130435
1962-09-01,2.78,.,3.9789473684210526
1962-10-01,2.74,.,3.9254545454545455
1962-11-01,2.83,.,3.9157894736842105
1962-12-01,2.87,.,3.8645000000000000
1963-01-01,2.91,.,3.8336363636363636
1963-02-01,2.92,.,3.9211111111111111
1963-03-01,2.89,.,3.9285714285714286
1963-04-01,2.90,.,3.9709523809523810
1963-05-01,2.93,.,3.9300000000000000
1963-06-01,2.99,.,3.9930000000000000
1963-07-01,3.18,.,4.0204545454545455
1963-08-01,3.32,.,4.0022727272727273
1963-09-01,3.38,.,4.0775000000000000
1963-10-01,3.45,.,4.1060869565217391
1963-11-01,3.52,.,4.1217647058823529
1963-12-01,3.52,.,4.1285714285714286
1964-01-01,3.52,.,4.1668181818181818
1964-02-01,3.53,.,4.1455555555555556
1964-03-01,3.54,.,4.2195238095238095
1964-04-01,3.47,.,4.2322727272727273
1964-05-01,3.48,.,4.2000000000000000
1964-06-01,3.48,.,4.1700000000000000
1964-07-01,3.46,.,4.1859090909090909
1964-08-01,3.50,.,4.1938095238095238
1964-09-01,3.53,.,4.2038095238095238
1964-10-01,3.57,.,4.1880952380952381
1964-11-01,3.64,.,4.1527777777777778
1964-12-01,3.84,.,4.1795454545454545
1965-01-01,3.81,.,4.1895000000000000
1965-02-01,3.93,.,4.2111111111111111
1965-03-01,3.93,.,4.2104347826086957
1965-04-01,3.93,.,4.2038095238095238
1965-05-01,3.89,.,4.2115000000000000
1965-06-01,3.80,.,4.2131818181818182
1965-07-01,3.84,.,4.2047619047619048
1965-08-01,3.84,.,4.2522727272727273
1965-09-01,3.92,.,4.2904761904761905
1965-10-01,4.03,.,4.3495000000000000
1965-11-01,4.09,.,4.4489473684210526
1965-12-01,4.38,.,4.6154545454545455
1966-01-01,4.59,.,4.6123809523809524
1966-02-01,4.65,.,4.8321052631578947
1966-03-01,4.59,.,4.8734782608695652
1966-04-01,4.62,.,4.7500000000000000
1966-05-01,4.64,.,4.7785714285714286
1966-06-01,4.50,.,4.8145454545454545
1966-07-01,4.80,.,5.0180000000000000
1966-08-01,4.96,.,5.2243478260869565
1966-09-01,5.37,.,5.1823809523809524
1966-10-01,5.35,.,5.0115000000000000
1966-11-01,5.32,.,5.1552631578947368
1966-12-01,4.96,.,4.8428571428571429
1967-01-01,4.72,.,4.5790476190476190
1967-02-01,4.56,.,4.6266666666666667
1967-03-01,4.26,.,4.5418181818181818
1967-04-01,3.84,.,4.5935000000000000
1967-05-01,3.60,.,4.8477272727272727
1967-06-01,3.54,.,5.0227272727272727
1967-07-01,4.21,.,5.1590000000000000
1967-08-01,4.27,.,5.2756521739130435
1967-09-01,4.42,.,5.3020000000000000
1967-10-01,4.56,.,5.4809523809523810
1967-11-01,4.73,.,5.7535000000000000
1967-12-01,4.97,.,5.6990000000000000
1968-01-01,5.00,.,5.5286363636363636
1968-02-01,4.98,.,5.5636842105263158
1968-03-01,5.17,.,5.7400000000000000
1968-04-01,5.38,.,5.6385000000000000
1968-05-01,5.66,.,5.8695454545454545
1968-06-01,5.52,.,5.7180000000000000
1968-07-01,5.31,.,5.4954545454545455
1968-08-01,5.09,.,5.4204545454545455
1968-09-01,5.19,.,5.4600000000000000
1968-10-01,5.35,.,5.5826086956521739
1968-11-01,5.45,.,5.6961111111111111
1968-12-01,5.96,.,6.0319047619047619
1969-01-01,6.14,.,6.0418181818181818
1969-02-01,6.12,.,6.1889473684210526
1969-03-01,6.02,.,6.2960000000000000
1969-04-01,6.11,.,6.1733333333333333
1969-05-01,6.04,.,6.3233333333333333
1969-06-01,6.44,.,6.5742857142857143
1969-07-01,7.00,.,6.7195238095238095
1969-08-01,6.98,.,6.6914285714285714
1969-09-01,7.09,.,7.1595238095238095
1969-10-01,7.00,.,7.0954545454545455
1969-11-01,7.24,.,7.1441176470588235
1969-12-01,7.82,.,7.6540909090909091
1970-01-01,7.87,.,7.7947619047619048
1970-02-01,7.13,.,7.2383333333333333
1970-03-01,6.63,.,7.0728571428571429
1970-04-01,6.51,.,7.3909090909090909
1970-05-01,6.84,.,7.9061904761904762
1970-06-01,6.68,.,7.8418181818181818
1970-07-01,6.45,.,7.4572727272727273
1970-08-01,6.41,.,7.5271428571428571
1970-09-01,6.12,.,7.3895238095238095
1970-10-01,5.91,.,7.3266666666666667
1970-11-01,5.28,.,6.8411111111111111
1970-12-01,4.87,.,6.3913636363636364
1971-01-01,4.44,.,6.2385000000000000
1971-02-01,3.70,.,6.1122222222222222
1971-03-01,3.38,.,5.7034782608695652
1971-04-01,3.86,.,5.8338095238095238
1971-05-01,4.14,.,6.3925000000000000
1971-06-01,4.75,.,6.5222727272727273
1971-07-01,5.40,.,6.7295238095238095
1971-08-01,4.94,.,6.5827272727272727
1971-09-01,4.69,.,6.1395238095238095
1971-10-01,4.46,.,5.9257894736842105
1971-11-01,4.22,.,5.8100000000000000
1971-12-01,4.01,.,5.9263636363636364
1972-01-01,3.38,.,5.9476190476190476
1972-02-01,3.20,.,6.0810000000000000
1972-03-01,3.73,.,6.0686363636363636
1972-04-01,3.71,.,6.1945000000000000
1972-05-01,3.69,.,6.1263636363636364
1972-06-01,3.91,.,6.1068181818181818
1972-07-01,3.98,.,6.1130000000000000
1972-08-01,4.02,.,6.2104347826086957
1972-09-01,4.66,.,6.5495000000000000
1972-10-01,4.74,.,6.4795000000000000
1972-11-01,4.78,.,6.2805000000000000
1972-12-01,5.07,.,6.3585000000000000
1973-01-01,5.41,.,6.4645454545454545
1973-02-01,5.60,.,6.6355555555555556
1973-03-01,6.09,.,6.7090909090909091
1973-04-01,6.26,.,6.6685000000000000
1973-05-01,6.36,.,6.8472727272727273
1973-06-01,7.19,.,6.9000000000000000
1973-07-01,8.01,.,7.1309523809523810
1973-08-01,8.67,.,7.4047826086956522
1973-09-01,8.29,.,7.0905263157894737
1973-10-01,7.22,.,6.7942857142857143
1973-11-01,7.83,.,6.7285000000000000
1973-12-01,7.45,.,6.7436842105263158
1974-01-01,7.77,.,6.9886363636363636
1974-02-01,7.12,.,6.9572222222222222
1974-03-01,7.96,.,7.2090476190476190
1974-04-01,8.33,.,7.5123809523809524
1974-05-01,8.23,.,7.5759090909090909
1974-06-01,7.90,.,7.5355000000000000
1974-07-01,7.55,.,7.8050000000000000
1974-08-01,8.96,.,8.0440909090909091
1974-09-01,8.06,.,8.0375000000000000
1974-10-01,7.46,.,7.8968181818181818
1974-11-01,7.47,.,7.6811111111111111
1974-12-01,7.15,.,7.4338095238095238
1975-01-01,6.26,.,7.5013636363636364
1975-02-01,5.50,.,7.3922222222222222
1975-03-01,5.49,.,7.7280000000000000
1975-04-01,5.61,.,8.2268181818181818
1975-05-01,5.23,.,8.0595238095238095
1975-06-01,5.34,.,7.8609523809523810
1975-07-01,6.13,.,8.0613636363636364
1975-08-01,6.44,.,8.3976190476190476
1975-09-01,6.42,.,8.4266666666666667
1975-10-01,5.96,.,8.1377272727272727
1975-11-01,5.48,.,8.0529411764705882
1975-12-01,5.44,.,7.9968181818181818
1976-01-01,4.87,.,7.7423809523809524
1976-02-01,4.88,.,7.7927777777777778
1976-03-01,5.00,.,7.7343478260869565
1976-04-01,4.86,.,7.5642857142857143
1976-05-01,5.20,.,7.8950000000000000
1976-06-01,5.41,.,7.8613636363636364
1976-07-01,5.23,.,7.8319047619047619
1976-08-01,5.14,.,7.7686363636363636
1976-09-01,5.08,.,7.5942857142857143
1976-10-01,4.92,.,7.4110000000000000
1976-11-01,4.75,.,7.2910526315789474
1976-12-01,4.35,.,6.8690909090909091
1977-01-01,4.62,.,7.2133333333333333
1977-02-01,4.67,.,7.3910526315789474
1977-03-01,4.60,.,7.4600000000000000
1977-04-01,4.54,.,7.3705000000000000
1977-05-01,4.96,.,7.4566666666666667
1977-06-01,5.02,.,7.2754545454545455
1977-07-01,5.19,.,7.3300000000000000
1977-08-01,5.49,.,7.3965217391304348
1977-09-01,5.81,.,7.3438095238095238
1977-10-01,6.16,.,7.5235000000000000
1977-11-01,6.10,.,7.5773684210526316
1977-12-01,6.07,.,7.6852380952380952
1978-01-01,6.44,.,7.9561904761904762
1978-02-01,6.45,.,8.0333333333333333
1978-03-01,6.29,.,8.0359090909090909
1978-04-01,6.29,.,8.1540000000000000
1978-05-01,6.41,.,8.3457142857142857
1978-06-01,6.73,.,8.4622727272727273
1978-07-01,7.01,.,8.6400000000000000
1978-08-01,7.08,.,8.4108695652173913
1978-09-01,7.85,.,8.4165000000000000
1978-10-01,7.99,.,8.6423809523809524
1978-11-01,8.64,.,8.8050000000000000
1978-12-01,9.08,.,9.0065000000000000
1979-01-01,9.35,.,9.0995454545454545
1979-02-01,9.32,.,9.0983333333333333
1979-03-01,9.48,.,9.1172727272727273
1979-04-01,9.46,.,9.1820000000000000
1979-05-01,9.61,.,9.2523809523809524
1979-06-01,9.06,.,8.9138095238095238
1979-07-01,9.24,.,8.9500000000000000
1979-08-01,9.52,.,9.0295652173913043
1979-09-01,10.26,.,9.3347368421052632
1979-10-01,11.70,.,10.2990909090909091
1979-11-01,11.79,.,10.6531578947368421
1979-12-01,12.04,.,10.3860000000000000
1980-01-01,12.00,.,10.8022727272727273
1980-02-01,12.86,.,12.4147368421052632
1980-03-01,15.20,.,12.7490476190476190
1980-04-01,13.20,.,11.4733333333333333
1980-05-01,8.58,.,10.1814285714285714
1980-06-01,7.07,.,9.7780952380952381
1980-07-01,8.06,.,10.2477272727272727
1980-08-01,9.13,.,11.1019047619047619
1980-09-01,10.27,.,11.5085714285714286
1980-10-01,11.62,.,11.7513636363636364
1980-11-01,13.73,.,12.6847058823529412
1980-12-01,15.49,.,12.8440909090909091
1981-01-01,15.02,.,12.5685714285714286
1981-02-01,14.79,.,13.1944444444444444
1981-03-01,13.36,.,13.1159090909090909
1981-04-01,13.69,.,13.6795238095238095
1981-05-01,16.30,.,14.0995000000000000
1981-06-01,14.73,.,13.4722727272727273
1981-07-01,14.95,.,14.2809090909090909
1981-08-01,15.51,.,14.9371428571428571
1981-09-01,14.70,.,15.3238095238095238
1981-10-01,13.54,.,15.1480952380952381
1981-11-01,10.86,.,13.3927777777777778
1981-12-01,10.85,.,13.7245454545454545
1982-01-01,12.28,1.6760000000000000,14.5940000000000000
1982-02-01,13.48,0.14611111111111111111,14.4255555555555556
1982-03-01,12.68,0.54652173913043478261,13.8613043478260870
1982-04-01,12.70,0.52714285714285714286,13.8719047619047619
1982-05-01,12.09,0.90850000000000000000,13.6225000000000000
1982-06-01,12.47,1.2209090909090909,14.2995454545454545
1982-07-01,11.35,2.0828571428571429,13.9461904761904762
1982-08-01,8.68,4.0577272727272727,13.0550000000000000
1982-09-01,7.92,4.1461904761904762,12.3390476190476190
1982-10-01,7.71,2.9390000000000000,10.9065000000000000
1982-11-01,8.07,2.2042105263157895,10.5505263157894737
1982-12-01,7.94,2.3372727272727273,10.5400000000000000
1983-01-01,7.86,2.3400000000000000,10.4571428571428571
1983-02-01,8.11,2.3305263157894737,10.7247368421052632
1983-03-01,8.35,1.8469565217391304,10.5065217391304348
1983-04-01,8.21,1.8865000000000000,10.4000000000000000
1983-05-01,8.19,1.8842857142857143,10.3800000000000000
1983-06-01,8.79,1.7090909090909091,10.8486363636363636
1983-07-01,9.08,1.9275000000000000,11.3770000000000000
1983-08-01,9.34,2.1069565217391304,11.8460869565217391
1983-09-01,9.00,2.2923809523809524,11.6538095238095238
1983-10-01,8.64,2.5530000000000000,11.5410000000000000
1983-11-01,8.76,2.5789473684210526,11.6900000000000000
1983-12-01,9.00,2.4719047619047619,11.8295238095238095
1984-01-01,8.90,2.4104761904761905,11.6742857142857143
1984-02-01,9.09,2.3826315789473684,11.8421052631578947
1984-03-01,9.52,2.4295454545454545,12.3190909090909091
1984-04-01,9.69,2.5605000000000000,12.6335000000000000
1984-05-01,9.83,3.1854545454545455,13.4086363636363636
1984-06-01,9.87,3.3023809523809524,13.5628571428571429
1984-07-01,10.12,2.8314285714285714,13.3623809523809524
1984-08-01,10.47,1.8156521739130435,12.7160869565217391
1984-09-01,10.37,1.7268421052631579,12.5226315789473684
1984-10-01,9.74,2.0359090909090909,12.1604545454545455
1984-11-01,8.61,2.6478947368421053,11.5726315789473684
1984-12-01,8.06,3.1620000000000000,11.4995000000000000
1985-01-01,7.76,3.3642857142857143,11.3842857142857143
1985-02-01,8.27,2.9516666666666667,11.5088888888888889
1985-03-01,8.52,3.0252380952380952,11.8552380952380952
1985-04-01,7.95,3.2128571428571429,11.4347619047619048
1985-05-01,7.48,3.1136363636363636,10.8468181818181818
1985-06-01,6.95,2.9760000000000000,10.1560000000000000
1985-07-01,7.08,2.9904545454545455,10.3068181818181818
1985-08-01,7.14,2.9613636363636364,10.3318181818181818
1985-09-01,7.10,3.0400000000000000,10.3731578947368421
1985-10-01,7.16,2.8359090909090909,10.2368181818181818
1985-11-01,7.24,2.3052631578947368,9.7815789473684211
1985-12-01,7.10,1.9290476190476190,9.2590476190476190
1986-01-01,7.07,1.8919047619047619,9.1938095238095238
1986-02-01,7.06,1.4136842105263158,8.7042105263157895
1986-03-01,6.56,1.01450000000000000000,7.7785000000000000
1986-04-01,6.06,1.0636363636363636,7.2990909090909091
1986-05-01,6.15,1.3747619047619048,7.7095238095238095
1986-06-01,6.21,1.4028571428571429,7.7995238095238095
1986-07-01,5.83,1.3036363636363636,7.3031818181818182
1986-08-01,5.53,1.4804761904761905,7.1657142857142857
1986-09-01,5.21,2.0952380952380952,7.4476190476190476
1986-10-01,5.18,2.1031818181818182,7.4263636363636364
1986-11-01,5.35,1.7505555555555556,7.2505555555555556
1986-12-01,5.53,1.4300000000000000,7.1127272727272727
1987-01-01,5.43,1.5065000000000000,7.0845000000000000
1987-02-01,5.59,1.4994736842105263,7.2505263157894737
1987-03-01,5.59,1.4827272727272727,7.2486363636363636
1987-04-01,5.64,2.2071428571428571,8.0228571428571429
1987-05-01,5.66,2.7665000000000000,8.6130000000000000
1987-06-01,5.67,2.5477272727272727,8.4022727272727273
1987-07-01,5.69,2.5677272727272727,8.4468181818181818
1987-08-01,6.04,2.5271428571428571,8.7604761904761905
1987-09-01,6.40,2.8004761904761905,9.4219047619047619
1987-10-01,6.13,3.1690476190476190,9.5200000000000000
1987-11-01,5.69,2.9705263157894737,8.8605263157894737
1987-12-01,5.77,3.0281818181818182,8.9877272727272727
1988-01-01,5.81,2.6610526315789474,8.6657894736842105
1988-02-01,5.66,2.3695000000000000,8.2120000000000000
1988-03-01,5.70,2.5034782608695652,8.3734782608695652
1988-04-01,5.91,2.6355000000000000,8.7185000000000000
1988-05-01,6.26,2.6347619047619048,9.0890476190476190
1988-06-01,6.46,2.2572727272727273,8.9213636363636364
1988-07-01,6.73,2.1080000000000000,9.0560000000000000
1988-08-01,7.06,1.9608695652173913,9.2604347826086957
1988-09-01,7.24,1.4990476190476190,8.9771428571428571
1988-10-01,7.35,1.1985000000000000,8.7955000000000000
1988-11-01,7.76,0.93400000000000000000,8.9625000000000000
1988-12-01,8.07,0.75714285714285714286,9.1057142857142857
1989-01-01,8.27,0.53300000000000000000,9.0915000000000000
1989-02-01,8.53,0.33210526315789473684,9.1689473684210526
1989-03-01,8.82,0.21545454545454545455,9.3577272727272727
1989-04-01,8.65,0.21300000000000000000,9.1755000000000000
1989-05-01,8.43,0.12318181818181818182,8.8590909090909091
1989-06-01,8.15,-0.15727272727272727273,8.2772727272727273
1989-07-01,7.88,-0.12850000000000000000,8.0185000000000000
1989-08-01,7.90,-0.05739130434782608696,8.1126086956521739
1989-09-01,7.75,0.17600000000000000000,8.1905000000000000
1989-10-01,7.64,0.10809523809523809524,8.0076190476190476
1989-11-01,7.69,-0.06952380952380952381,7.8742857142857143
1989-12-01,7.63,-0.04350000000000000000,7.8360000000000000
1990-01-01,7.64,0.30857142857142857143,8.2066666666666667
1990-02-01,7.74,0.47105263157894736842,8.4731578947368421
1990-03-01,7.90,0.41863636363636363636,8.5886363636363636
1990-04-01,7.77,0.74500000000000000000,8.7855000000000000
1990-05-01,7.74,0.75136363636363636364,8.7581818181818182
1990-06-01,7.73,0.49333333333333333333,8.4800000000000000
1990-07-01,7.62,0.59666666666666666667,8.4714285714285714
1990-08-01,7.45,1.0582608695652174,8.7526086956521739
1990-09-01,7.36,1.2952631578947368,8.8931578947368421
1990-10-01,7.17,1.3195454545454545,8.7195454545454545
1990-11-01,7.06,1.1015000000000000,8.3920000000000000
1990-12-01,6.74,1.1255000000000000,8.0750000000000000
1991-01-01,6.22,1.6823809523809524,8.0919047619047619
1991-02-01,5.94,1.7384210526315789,7.8547368421052632
1991-03-01,5.91,2.0165000000000000,8.1100000000000000
1991-04-01,5.65,2.2136363636363636,8.0390909090909091
1991-05-01,5.46,2.4340909090909091,8.0677272727272727
1991-06-01,5.57,2.5330000000000000,8.2840000000000000
1991-07-01,5.58,2.5218181818181818,8.2727272727272727
1991-08-01,5.33,2.4022727272727273,7.9000000000000000
1991-09-01,5.22,2.2765000000000000,7.6500000000000000
1991-10-01,4.99,2.3831818181818182,7.5272727272727273
1991-11-01,4.56,2.7278947368421053,7.4173684210526316
1991-12-01,4.07,2.9042857142857143,7.0885714285714286
1992-01-01,3.80,3.1261904761904762,7.0323809523809524
1992-02-01,3.84,3.3878947368421053,7.3378947368421053
1992-03-01,4.04,3.4036363636363636,7.5422727272727273
1992-04-01,3.75,3.6414285714285714,7.4804761904761905
